,AOU,Variables,Estimate,Q2.5,Q97.5
494,6380,Temp,-0.010834758,-0.238074769,0.211464748
495,6390,Temp,0.09782708,-0.015291437,0.208517237
496,6410,Temp,0.297442129,0.16365157,0.430304661
497,6450,Temp,-1.05596515,-1.262078196,-0.849855682
498,6460,Temp,1.066263589,0.901777313,1.230829366
499,6480,Temp,0.736530785,0.635018936,0.83500909
500,6520,Temp,-0.297902406,-0.380840774,-0.218203051
501,6540,Temp,1.355385313,1.169020016,1.540396077
502,6570,Temp,0.008497436,-0.104728091,0.124663054
503,6590,Temp,-0.357830187,-0.479688277,-0.240805303
504,6620,Temp,-0.426277779,-0.566132651,-0.285487002
505,6630,Temp,-0.191115471,-0.298510799,-0.086745819
506,6650,Temp,0.283330192,0.167371604,0.40167914
507,6670,Temp,-0.034064549,-0.156422309,0.081323334
508,6710,Temp,0.404267259,0.301242179,0.506068691
509,6730,Temp,0.054299846,-0.039637295,0.147097229
510,6740,Temp,0.274110537,0.170913804,0.372673596
511,6760,Temp,-0.073210306,-0.176827615,0.02911869
512,6770,Temp,0.003759409,-0.096396711,0.101497411
513,6790,Temp,-0.280561939,-0.387469072,-0.178073878
514,6800,Temp,0.353002803,0.195997636,0.509410045
515,6810,Temp,0.051584644,-0.038655291,0.139144314
516,6830,Temp,-0.48671996,-0.576376528,-0.399705222
517,6840,Temp,0.450505246,0.338435482,0.563226158
518,6850,Temp,0.469554896,0.339720011,0.600673354
519,6860,Temp,1.015820629,0.782622819,1.245576379
520,6870,Temp,-0.286141416,-0.377033398,-0.195792159
521,6882,Temp,-0.20197224,-0.288224363,-0.117206177
522,7020,Temp,0.455841395,0.334176278,0.576178058
523,7030,Temp,-0.937826293,-1.044770467,-0.832820171
524,7040,Temp,-0.089554409,-0.174096405,-0.006167566
525,7050,Temp,-0.632878679,-0.722852896,-0.543768628
526,7150,Temp,0.476377571,0.36547204,0.586545013
527,7180,Temp,-0.481678585,-0.61460408,-0.34762607
528,7190,Temp,0.821950057,0.706078419,0.936820074
529,7210,Temp,0.061726154,-0.0313021,0.150995796
530,7221,Temp,0.193719338,-0.052708137,0.447372851
531,7222,Temp,0.113572505,-0.004898138,0.231434167
532,7240,Temp,0.100729494,-0.004091003,0.200619368
533,7260,Temp,0.201907828,0.090933189,0.313626785
534,7270,Temp,-0.22583986,-0.316527623,-0.13746184
535,7280,Temp,0.487654421,0.387078749,0.589205845
536,7290,Temp,-0.212700149,-0.327350429,-0.098655919
537,7310,Temp,-0.654642733,-0.771466359,-0.538356442
538,7350,Temp,0.037138481,-0.050463722,0.121926246
539,7360,Temp,-0.748034566,-0.885051094,-0.609440159
540,7380,Temp,0.527924909,0.395682816,0.662939047
541,7430,Temp,-0.726929242,-0.862306662,-0.594560506
542,7480,Temp,0.8390411,0.716135766,0.966198239
543,7510,Temp,-0.423232811,-0.508499906,-0.341491586
544,7540,Temp,0.51693901,0.414773331,0.619342569
545,7550,Temp,0.078806445,-0.018627598,0.173318076
546,7560,Temp,-0.238418759,-0.358458776,-0.120522919
547,7580,Temp,0.265980214,0.151941995,0.380907455
548,7590,Temp,0.15603966,0.060514398,0.249318231
549,7610,Temp,-0.50265355,-0.592657438,-0.415576885
550,7660,Temp,-0.510732304,-0.600473959,-0.425570036
551,7670,Temp,-0.336135581,-0.504392636,-0.174823433
552,7680,Temp,0.134958265,0.024928476,0.240884963
553,2881,Elev,-0.941703692,-1.149742326,-0.734205826
554,2890,Elev,-0.419957585,-0.537560187,-0.303238097
555,2940,Elev,-1.595133589,-1.798367478,-1.393203168
556,3000,Elev,0.22107226,0.070018536,0.373574923
557,3120,Elev,-0.517794651,-0.690709369,-0.340669567
558,3160,Elev,-0.782391536,-0.884956825,-0.68367609
559,3190,Elev,0.499649229,0.197037879,0.801539787
560,3200,Elev,0.688209629,0.471828256,0.9059526
561,3870,Elev,-0.358409201,-0.452831447,-0.264047531
562,3880,Elev,-0.083675623,-0.192398238,0.023451709
563,3930,Elev,0.126041519,0.018703809,0.234479192
564,3940,Elev,-0.433246422,-0.522245053,-0.341433294
565,3960,Elev,0.290492175,0.00882849,0.569923089
566,4020,Elev,-0.149068795,-0.260515014,-0.034447556
567,4021,Elev,1.284852462,1.091284862,1.4760312
568,4060,Elev,-0.255221614,-0.366933333,-0.145903083
569,4090,Elev,-0.137284029,-0.239857524,-0.036403246
570,4120,Elev,-0.074463707,-0.168535448,0.020618322
571,4290,Elev,0.210652416,0.055586201,0.370683066
572,4320,Elev,-0.620063745,-0.799920555,-0.43869217
573,4330,Elev,-0.678207114,-0.880590242,-0.474421261
574,4430,Elev,0.681523651,0.522956983,0.842554376
575,4440,Elev,-0.335708218,-0.430131204,-0.241142961
576,4470,Elev,-0.36228616,-0.463377061,-0.261359592
577,4480,Elev,-0.970642131,-1.191188408,-0.751880719
578,4520,Elev,-0.38493008,-0.480207878,-0.289421214
579,4540,Elev,0.192730401,-0.010654914,0.396113666
580,4560,Elev,-0.267493427,-0.364582018,-0.169637009
581,4570,Elev,0.277061661,0.165365102,0.387571495
582,4590,Elev,-0.018951557,-0.154560513,0.115776794
583,4610,Elev,-0.005687639,-0.102754139,0.09331283
584,4620,Elev,0.159544508,0.032239171,0.288829467
585,4640,Elev,0.169688112,0.018778839,0.322850541
586,4641,Elev,0.129121452,-0.029943939,0.291830927
587,4650,Elev,0.690598901,0.553377739,0.828914432
588,4660,Elev,0.302757304,0.186573021,0.420490689
589,4670,Elev,-0.419769656,-0.522179129,-0.314269741
590,4680,Elev,-0.069879607,-0.202187499,0.062144708
591,4690,Elev,0.507090711,0.358532057,0.655805227
592,4691,Elev,0.484058898,0.283337106,0.691045783
593,4750,Elev,0.410377631,0.283502841,0.533345949
594,4770,Elev,-0.057223822,-0.154650513,0.041376822
595,4780,Elev,0.555420553,0.403366339,0.707316157
596,4812,Elev,-0.028176342,-0.359496936,0.305873252
597,4840,Elev,0.144069882,-0.04768664,0.334879846
