"focalAOU","Focal","FocalSciName","CompAOU","Competitor","CompSciName","Family","mainCompetitor"
4470,"Western Kingbird","Tyrannus verticalis",4540,"Ash-throated Flycatcher","Myiarchus cinerascens","Tyrannidae",0
4470,"Western Kingbird","Tyrannus verticalis",4550,"Dusky-capped Flycatcher","Myiarchus tuberculifer","Tyrannidae",0
4470,"Western Kingbird","Tyrannus verticalis",4560,"Eastern Phoebe","Sayornis phoebe","Tyrannidae",0
4470,"Western Kingbird","Tyrannus verticalis",4590,"Olive-sided Flycatcher","Contopus cooperi","Tyrannidae",0
4470,"Western Kingbird","Tyrannus verticalis",4600,"Greater Pewee","Contopus pertinax","Tyrannidae",0
4480,"Cassin's Kingbird","Tyrannus vociferans",4540,"Ash-throated Flycatcher","Myiarchus cinerascens","Tyrannidae",1
4520,"Great Crested Flycatcher","Myiarchus crinitus",4440,"Eastern Kingbird","Tyrannus tyrannus","Tyrannidae",1
4520,"Great Crested Flycatcher","Myiarchus crinitus",4430,"Scissor-tailed Flycatcher","Tyrannus forficatus","Tyrannidae",0
4520,"Great Crested Flycatcher","Myiarchus crinitus",4450,"Gray Kingbird","Tyrannus dominicensis","Tyrannidae",0
4520,"Great Crested Flycatcher","Myiarchus crinitus",4461,"Couch's Kingbird","Tyrannus couchii","Tyrannidae",0
4520,"Great Crested Flycatcher","Myiarchus crinitus",4470,"Western Kingbird","Tyrannus verticalis","Tyrannidae",0
4520,"Great Crested Flycatcher","Myiarchus crinitus",4480,"Cassin's Kingbird","Tyrannus vociferans","Tyrannidae",0
4520,"Great Crested Flycatcher","Myiarchus crinitus",4490,"Great Kiskadee","Pitangus sulphuratus","Tyrannidae",0
4520,"Great Crested Flycatcher","Myiarchus crinitus",4530,"Brown-crested Flycatcher","Myiarchus tyrannulus","Tyrannidae",0
4520,"Great Crested Flycatcher","Myiarchus crinitus",4540,"Ash-throated Flycatcher","Myiarchus cinerascens","Tyrannidae",0
