"Species","FocalAOU","stateroute"
"Coccyzus_erythropthalmus",3880,64187
"Coccyzus_erythropthalmus",3880,64278
"Coccyzus_erythropthalmus",3880,64437
"Coccyzus_erythropthalmus",3880,64559
"Coccyzus_erythropthalmus",3880,64718
"Coccyzus_erythropthalmus",3880,64774
"Coccyzus_erythropthalmus",3880,64907
"Coccyzus_erythropthalmus",3880,65126
"Coccyzus_erythropthalmus",3880,65247
"Coccyzus_erythropthalmus",3880,65548
"Coccyzus_erythropthalmus",3880,65696
"Coccyzus_erythropthalmus",3880,65796
"Coccyzus_erythropthalmus",3880,65888
"Coccyzus_erythropthalmus",3880,65930
"Coccyzus_erythropthalmus",3880,66206
"Coccyzus_erythropthalmus",3880,66316
"Coccyzus_erythropthalmus",3880,66747
"Coccyzus_erythropthalmus",3880,66788
"Coccyzus_erythropthalmus",3880,66896
"Coccyzus_erythropthalmus",3880,66972
"Coccyzus_erythropthalmus",3880,67069
"Coccyzus_erythropthalmus",3880,67131
"Coccyzus_erythropthalmus",3880,67333
"Coccyzus_erythropthalmus",3880,67443
"Coccyzus_erythropthalmus",3880,67776
"Coccyzus_erythropthalmus",3880,68111
"Coccyzus_erythropthalmus",3880,68145
"Coccyzus_erythropthalmus",3880,68254
"Coccyzus_erythropthalmus",3880,68681
"Coccyzus_erythropthalmus",3880,69443
"Coccyzus_erythropthalmus",3880,69581
"Coccyzus_erythropthalmus",3880,69661
"Coccyzus_erythropthalmus",3880,69792
"Coccyzus_erythropthalmus",3880,69848
"Coccyzus_erythropthalmus",3880,71200
"Coccyzus_erythropthalmus",3880,76107
"Coccyzus_erythropthalmus",3880,76228
"Coccyzus_erythropthalmus",3880,76298
"Coccyzus_erythropthalmus",3880,76353
"Coccyzus_erythropthalmus",3880,77659
"Coccyzus_erythropthalmus",3880,79760
"Coccyzus_erythropthalmus",3880,79814
"Coccyzus_erythropthalmus",3880,79924
"Coccyzus_erythropthalmus",3880,80031
"Coccyzus_erythropthalmus",3880,80214
"Coccyzus_erythropthalmus",3880,80303
"Coccyzus_erythropthalmus",3880,80390
"Coccyzus_erythropthalmus",3880,80567
"Coccyzus_erythropthalmus",3880,80641
"Coccyzus_erythropthalmus",3880,80839
"Coccyzus_erythropthalmus",3880,80984
"Coccyzus_erythropthalmus",3880,81188
"Coccyzus_erythropthalmus",3880,81313
"Coccyzus_erythropthalmus",3880,81341
"Coccyzus_erythropthalmus",3880,81507
"Coccyzus_erythropthalmus",3880,81667
"Coccyzus_erythropthalmus",3880,81821
"Coccyzus_erythropthalmus",3880,81916
"Coccyzus_erythropthalmus",3880,82070
"Coccyzus_erythropthalmus",3880,82187
"Coccyzus_erythropthalmus",3880,82305
"Coccyzus_erythropthalmus",3880,82413
"Coccyzus_erythropthalmus",3880,82494
"Coccyzus_erythropthalmus",3880,82618
"Coccyzus_erythropthalmus",3880,82705
"Coccyzus_erythropthalmus",3880,82867
"Coccyzus_erythropthalmus",3880,82993
"Coccyzus_erythropthalmus",3880,83042
"Coccyzus_erythropthalmus",3880,83193
"Coccyzus_erythropthalmus",3880,83301
"Coccyzus_erythropthalmus",3880,83532
"Coccyzus_erythropthalmus",3880,83642
"Coccyzus_erythropthalmus",3880,83762
"Coccyzus_erythropthalmus",3880,83787
"Coccyzus_erythropthalmus",3880,83887
"Coccyzus_erythropthalmus",3880,83989
"Coccyzus_erythropthalmus",3880,84091
"Coccyzus_erythropthalmus",3880,84229
"Coccyzus_erythropthalmus",3880,84311
"Coccyzus_erythropthalmus",3880,84541
"Coccyzus_erythropthalmus",3880,84648
"Coccyzus_erythropthalmus",3880,84764
"Coccyzus_erythropthalmus",3880,84859
"Coccyzus_erythropthalmus",3880,85050
"Coccyzus_erythropthalmus",3880,85138
"Coccyzus_erythropthalmus",3880,85206
"Coccyzus_erythropthalmus",3880,85258
"Coccyzus_erythropthalmus",3880,85549
"Sphyrapicus_ruber",4030,3264
"Sphyrapicus_ruber",4030,7803
"Sphyrapicus_ruber",4030,7993
"Sphyrapicus_ruber",4030,8274
"Sphyrapicus_ruber",4030,8591
"Sphyrapicus_ruber",4030,8715
"Sphyrapicus_ruber",4030,8901
"Sphyrapicus_ruber",4030,9066
"Sphyrapicus_ruber",4030,9452
"Sphyrapicus_ruber",4030,10250
"Sphyrapicus_ruber",4030,10445
"Sphyrapicus_ruber",4030,10596
"Sphyrapicus_ruber",4030,10734
"Sphyrapicus_ruber",4030,11266
"Sphyrapicus_ruber",4030,11413
"Sphyrapicus_ruber",4030,11488
"Sphyrapicus_ruber",4030,60148
"Sphyrapicus_ruber",4030,60245
"Sphyrapicus_ruber",4030,60448
"Sphyrapicus_ruber",4030,60530
"Sphyrapicus_ruber",4030,60645
"Sphyrapicus_ruber",4030,60683
"Sphyrapicus_ruber",4030,60828
"Sphyrapicus_ruber",4030,61057
"Sphyrapicus_ruber",4030,61156
"Sphyrapicus_ruber",4030,61247
"Sphyrapicus_ruber",4030,61309
"Sphyrapicus_ruber",4030,61493
"Sphyrapicus_ruber",4030,78711
"Sphyrapicus_ruber",4030,79190
"Sphyrapicus_ruber",4030,79300
"Sphyrapicus_ruber",4030,79343
"Sphyrapicus_nuchalis",4021,3980
"Sphyrapicus_nuchalis",4021,4604
"Sphyrapicus_nuchalis",4021,4880
"Sphyrapicus_nuchalis",4021,7352
"Sphyrapicus_nuchalis",4021,7477
